Iteration,Cross-Entropy
1,2.2992560863494873
2,2.295632839202881
3,2.301945686340332
4,2.306729793548584
5,2.300419807434082
6,2.299915075302124
7,2.3007705211639404
8,2.3025879859924316
9,2.3056724071502686
10,2.304558515548706
11,2.2994892597198486
12,2.2987239360809326
13,2.2953267097473145
14,2.300389051437378
15,2.305020332336426
16,2.3015623092651367
17,2.2985284328460693
18,2.300321102142334
19,2.300877332687378
20,2.3008127212524414
21,2.301689863204956
22,2.2965831756591797
23,2.303203582763672
24,2.306199789047241
25,2.3013083934783936
26,2.30361270904541
27,2.302093267440796
28,2.3004038333892822
29,2.301252841949463
30,2.303443431854248
31,2.3014936447143555
32,2.29831862449646
33,2.300847053527832
34,2.301208019256592
35,2.303999662399292
36,2.3067610263824463
37,2.30056095123291
38,2.29886531829834
39,2.297194480895996
40,2.307049036026001
41,2.3003618717193604
42,2.2971725463867188
43,2.301386833190918
44,2.3006649017333984
45,2.302161931991577
46,2.3020787239074707
47,2.3007209300994873
48,2.302983522415161
49,2.3003218173980713
50,2.301567316055298
51,2.313941717147827
52,2.305117130279541
53,2.296588897705078
54,2.305570125579834
55,2.3077564239501953
56,2.3014800548553467
57,2.299745559692383
58,2.306504964828491
59,2.305654525756836
60,2.3056037425994873
61,2.303872585296631
62,2.3010592460632324
63,2.3026392459869385
64,2.3041934967041016
65,2.3014636039733887
66,2.304623603820801
67,2.303391456604004
68,2.3084843158721924
69,2.30031418800354
70,2.3088808059692383
71,2.3018670082092285
72,2.301673173904419
73,2.300567150115967
74,2.3015713691711426
75,2.3042211532592773
76,2.301309108734131
77,2.3020615577697754
78,2.299957752227783
79,2.3001973628997803
80,2.3040826320648193
81,2.3013811111450195
82,2.301490545272827
83,2.295435667037964
84,2.30059552192688
85,2.3060355186462402
86,2.3056938648223877
87,2.305546760559082
88,2.3064017295837402
89,2.3048198223114014
90,2.297835350036621
91,2.299398422241211
92,2.298380136489868
93,2.296302318572998
94,2.2960915565490723
95,2.2975974082946777
96,2.304183006286621
97,2.297853946685791
98,2.2974681854248047
99,2.3062028884887695
100,2.30104923248291
101,2.297665596008301
102,2.308283567428589
103,2.297361373901367
104,2.296642780303955
105,2.2995002269744873
106,2.300041675567627
107,2.303072452545166
108,2.298441171646118
109,2.2992208003997803
110,2.296854019165039
111,2.3033902645111084
112,2.3075814247131348
113,2.2978148460388184
114,2.30129337310791
115,2.3047399520874023
116,2.30428409576416
117,2.29742693901062
118,2.2963876724243164
119,2.3061890602111816
120,2.3027117252349854
121,2.3005523681640625
122,2.3003196716308594
123,2.3034541606903076
124,2.29860782623291
125,2.3049633502960205
126,2.3019163608551025
127,2.3027093410491943
128,2.3025403022766113
129,2.304405927658081
130,2.298588514328003
131,2.2969372272491455
132,2.303156852722168
133,2.302868604660034
134,2.301370859146118
135,2.3041510581970215
136,2.300750732421875
137,2.2984254360198975
138,2.3022165298461914
139,2.302734851837158
140,2.3050267696380615
141,2.3041083812713623
142,2.3047940731048584
143,2.3037967681884766
144,2.3006739616394043
145,2.297255039215088
146,2.3020758628845215
147,2.3006138801574707
148,2.2947170734405518
149,2.304192543029785
150,2.302537441253662
151,2.295351505279541
152,2.3009488582611084
153,2.3027710914611816
154,2.2995784282684326
155,2.303055763244629
156,2.296135187149048
157,2.298011541366577
158,2.2950174808502197
159,2.3018064498901367
160,2.3009612560272217
161,2.3045520782470703
162,2.3008761405944824
163,2.3042356967926025
164,2.3012845516204834
165,2.2988505363464355
166,2.3038582801818848
167,2.3016297817230225
168,2.303704023361206
169,2.306802272796631
170,2.292919397354126
171,2.300461530685425
172,2.299882650375366
173,2.2961952686309814
174,2.304946184158325
175,2.3036038875579834
176,2.3039488792419434
177,2.2995429039001465
178,2.296290636062622
179,2.2980806827545166
180,2.310023546218872
181,2.3021187782287598
182,2.2994773387908936
183,2.302189826965332
184,2.302804470062256
185,2.3017702102661133
186,2.3018229007720947
187,2.302508592605591
188,2.298772096633911
189,2.309019088745117
190,2.30143666267395
191,2.299959182739258
192,2.304352045059204
193,2.3032336235046387
194,2.3002805709838867
195,2.3049156665802
196,2.2945520877838135
197,2.3006832599639893
198,2.3004813194274902
199,2.298888921737671
200,2.3034427165985107
201,2.3036582469940186
202,2.305131673812866
203,2.300586223602295
204,2.2997865676879883
205,2.3050644397735596
206,2.3036842346191406
207,2.2998392581939697
208,2.3055574893951416
209,2.2992701530456543
210,2.3018033504486084
211,2.304841995239258
212,2.3062124252319336
213,2.3041574954986572
214,2.3039708137512207
215,2.3053174018859863
216,2.2994797229766846
217,2.306708335876465
218,2.304260015487671
219,2.3047118186950684
220,2.306891679763794
221,2.2997138500213623
222,2.305288791656494
223,2.2989959716796875
224,2.2958433628082275
225,2.29902982711792
226,2.304652214050293
227,2.293302297592163
228,2.301389217376709
229,2.300854444503784
230,2.3005239963531494
231,2.302185535430908
232,2.29958438873291
233,2.2984871864318848
234,2.303158760070801
235,2.302419662475586
236,2.301546096801758
237,2.3041043281555176
238,2.2991864681243896
239,2.3037524223327637
240,2.3004953861236572
241,2.2980852127075195
242,2.2990705966949463
243,2.306455135345459
244,2.304102897644043
245,2.308414936065674
246,2.3029093742370605
247,2.3048465251922607
248,2.3052268028259277
249,2.298205852508545
250,2.3069183826446533
251,2.3038218021392822
252,2.3066141605377197
